latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.811298,100.69313,335.15,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,300.83,3.93,D,0
18.439735,98.244034,333.32,0.42,0.38,2021-12-01,0630,N,VIIRS,n,1,294.7,8.71,D,0
18.443211,98.243553,343.5,0.42,0.38,2021-12-01,0630,N,VIIRS,n,1,291.6,8.71,D,0
18.821308,100.445656,333.81,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,298.89,2.34,D,0
18.703682,99.554832,331.98,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.11,1.83,D,0
18.926836,100.830872,334.23,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,298.41,3.25,D,0
18.805639,99.8358,331.77,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.19,21.96,D,0
18.969393,99.97612,328.94,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.38,1.85,D,0
19.107626,100.019104,341.41,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.41,4.95,D,0
18.941801,98.967216,326.05,0.4,0.37,2021-12-01,0630,N,VIIRS,l,1,299.08,0.95,D,0
19.100222,99.949181,330.12,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.59,1.69,D,0
19.13298,100.007309,334.12,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.23,2.72,D,0
19.248259,100.518417,329.99,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,295.57,1.97,D,0
19.011173,98.880898,326.68,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,301.28,3.1,D,0
19.331633,100.871445,332.7,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.28,7.45,D,0
19.331089,100.86779,329.51,0.39,0.36,2021-12-01,0630,N,VIIRS,l,1,300.38,7.45,D,0
19.215603,99.839638,334.43,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.38,2.91,D,0
19.063883,98.856514,344.95,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,301.05,9.03,D,0
19.063274,98.85273,329.93,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,300.38,5.66,D,0
19.306688,100.389389,330.76,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,297.42,1.2,D,0
19.087505,98.852341,327.07,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,300.43,2.29,D,0
19.38114,100.435982,329.93,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,297.29,2.12,D,0
19.135515,98.629211,330.06,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,291.55,3.07,D,0
19.376123,100.002991,335.58,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.63,2.17,D,0
19.379431,100.002434,330.16,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.99,2.17,D,0
19.414467,100.142532,336.01,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,300.3,3.09,D,0
19.370567,99.8125,330.89,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.08,2.22,D,0
